wavelength_nm,flux
460.0,1.9973
461.0,2.0639
462.0,2.078
463.0,2.084
464.0,2.015
465.0,1.984
466.0,2.021
467.0,1.931
468.0,2.012
469.0,2.018
470.0,1.939
471.0,1.969
472.0,2.07
473.0,1.9882
474.0,2.012
475.0,2.08
476.0,2.012
477.0,2.025
478.0,2.086
479.0,2.04
480.0,2.068
481.0,2.061
482.0,2.0623
483.0,2.031
484.0,1.989
485.0,1.979
486.0,1.601
487.0,1.789
488.0,1.935
489.0,1.8224
490.0,2.032
491.0,1.949
492.0,1.856
493.0,1.983
494.0,1.9339
495.0,2.051
496.0,1.949
497.0,1.98
498.0,1.924
499.0,1.923
500.0,1.916
501.0,1.858
502.0,1.86
503.0,1.949
504.0,1.833
505.0,1.9472
506.0,2.025
507.0,1.9354
508.0,1.88
509.0,1.965
510.0,1.91
511.0,1.941
512.0,1.989
513.0,1.866
514.0,1.824
515.0,1.875
516.0,1.891
517.0,1.539
518.0,1.759
519.0,1.704
520.0,1.86
521.0,1.873
522.0,1.915
523.0,1.804
524.0,1.941
525.0,1.928
526.0,1.874
527.0,1.641
528.0,1.88
529.0,1.969
530.0,1.892
531.0,1.995
532.0,1.958
533.0,1.747
534.0,1.869
535.0,1.895
536.0,1.974
537.0,1.824
538.0,1.913
539.0,1.864
540.0,1.8
541.0,1.734
542.0,1.888
543.0,1.851
544.0,1.919
545.0,1.874
546.0,1.8609
547.0,1.882
548.0,1.826
549.0,1.88
550.0,1.863
551.0,1.859
552.0,1.896
553.0,1.842
554.0,1.878
555.0,1.889
556.0,1.857
557.0,1.812
558.0,1.853
559.0,1.755
560.0,1.786
561.0,1.89
562.0,1.801
563.0,1.871
564.0,1.836
565.0,1.849
566.0,1.75
567.0,1.868
568.0,1.859
569.0,1.831
570.0,1.828
571.0,1.762
572.0,1.872
573.0,1.881
574.0,1.873
575.0,1.834
576.0,1.818
577.0,1.862
578.0,1.799
579.0,1.816
580.0,1.834
581.0,1.833
582.0,1.852
583.0,1.863
584.0,1.854
585.0,1.836
586.0,1.792
587.0,1.838
588.0,1.821
589.0,1.624
590.0,1.7218
591.0,1.809
592.0,1.788
593.0,1.792
594.0,1.789
595.0,1.778
596.0,1.796
597.0,1.806
598.0,1.772
599.0,1.764
600.0,1.77
601.0,1.742
602.0,1.715
603.0,1.749
604.0,1.779
605.0,1.773
606.0,1.758
607.0,1.762
608.0,1.751
609.0,1.734
610.0,1.724
611.0,1.712
612.0,1.736
613.0,1.71
614.0,1.655
615.0,1.712
616.0,1.664
617.0,1.641
618.0,1.702
619.0,1.709
620.0,1.711
621.0,1.724
622.0,1.6784
623.0,1.682
624.0,1.667
625.0,1.644
626.0,1.64
627.0,1.693
628.0,1.693
629.0,1.687
630.0,1.665
631.0,1.659
632.0,1.5901
633.0,1.674
634.0,1.637
635.0,1.652
636.0,1.6093
637.0,1.661
638.0,1.665
639.0,1.653
640.0,1.613
641.0,1.61
642.0,1.609
643.0,1.625
644.0,1.614
645.0,1.627
646.0,1.591
647.0,1.606
648.0,1.602
649.0,1.551
650.0,1.526
651.0,1.613
652.0,1.591
653.0,1.598
654.0,1.575
655.0,1.523
656.0,1.3233
657.0,1.384
658.0,1.539
659.0,1.542
660.0,1.558
661.0,1.566
662.0,1.571
663.0,1.563
664.0,1.554
665.0,1.567
666.0,1.555
667.0,1.5354
668.0,1.5348
669.0,1.558
670.0,1.534
671.0,1.529
672.0,1.506
673.0,1.517
674.0,1.513
675.0,1.499
676.0,1.515
677.0,1.5
678.0,1.507
679.0,1.493
680.0,1.494
681.0,1.487
682.0,1.493
683.0,1.476
684.0,1.466
685.0,1.465
686.0,1.433
687.0,1.472
688.0,1.476
689.0,1.478
690.0,1.479
691.0,1.468
692.0,1.454
693.0,1.458
694.0,1.457
695.0,1.435
696.0,1.442
697.0,1.438
698.0,1.417
699.0,1.434
700.0,1.422
701.0,1.4131
702.0,1.3987
703.0,1.4095
704.0,1.4187
705.0,1.433
706.0,1.4138
707.0,1.404
708.0,1.399
709.0,1.39
710.0,1.404
711.0,1.397
712.0,1.3818
713.0,1.3702
714.0,1.3819
715.0,1.3502
716.0,1.3694
717.0,1.365
718.0,1.357
719.0,1.301
720.0,1.3487
721.0,1.348
722.0,1.36
723.0,1.351
724.0,1.3607
725.0,1.3465
726.0,1.3429
727.0,1.3444
728.0,1.337
729.0,1.2796
730.0,1.3357
731.0,1.3104
732.0,1.3333
733.0,1.3108
734.0,1.339
735.0,1.3271
736.0,1.31
737.0,1.312
738.0,1.3
739.0,1.2646
740.0,1.283
741.0,1.2707
742.0,1.2649
743.0,1.2892
744.0,1.2955
745.0,1.292
746.0,1.2892
747.0,1.289
748.0,1.2808
749.0,1.276
750.0,1.274
751.0,1.268
752.0,1.272
753.0,1.265
754.0,1.2809
755.0,1.2771
756.0,1.261
757.0,1.2598
758.0,1.268
759.0,1.25
760.0,1.259
761.0,1.2487
762.0,1.246
763.0,1.2543
764.0,1.2566
765.0,1.2452
766.0,1.2
767.0,1.212
768.0,1.231
769.0,1.2142
770.0,1.2146
771.0,1.2073
772.0,1.212
773.0,1.21
774.0,1.209
775.0,1.208
776.0,1.2102
777.0,1.2028
778.0,1.2014
779.0,1.2067
780.0,1.193
781.0,1.1898
782.0,1.195
783.0,1.1896
784.0,1.181
785.0,1.1874
786.0,1.189
787.0,1.1877
788.0,1.18
789.0,1.1812
790.0,1.1704
791.0,1.1632
792.0,1.15
793.0,1.1449
794.0,1.126
795.0,1.128
796.0,1.1427
797.0,1.158
798.0,1.1501
799.0,1.135
800.0,1.1248
801.0,1.1427
802.0,1.1422
803.0,1.1241
804.0,1.1342
805.0,1.1001
806.0,1.1309
807.0,1.123
808.0,1.1162
809.0,1.098
810.0,1.11
811.0,1.1143
812.0,1.116
813.0,1.118
814.0,1.1174
815.0,1.1091
816.0,1.105
817.0,1.1083
818.0,1.0861
819.0,1.0738
820.0,1.074
821.0,1.076
822.0,1.056
823.0,1.076
824.0,1.0715
825.0,1.0699
826.0,1.0759
827.0,1.0762
828.0,1.0749
829.0,1.062
830.0,1.0563
831.0,1.056
832.0,1.055
833.0,1.0327
834.0,1.0459
835.0,1.0476
836.0,1.0597
837.0,1.0511
838.0,1.0549
839.0,1.04
840.0,1.05
841.0,1.052
842.0,1.0287
843.0,1.0271
844.0,1.014
845.0,1.036
846.0,1.037
847.0,1.006
848.0,1.011
849.0,1.005
850.0,0.91
851.0,0.998
852.0,0.99
853.0,0.981
854.0,0.869
855.0,0.927
856.0,0.99017
857.0,1.0056
858.0,1.007
859.0,1.005
860.0,1.0
861.0,0.999
862.0,1.006
863.0,1.012
864.0,0.99006
865.0,0.97354
866.0,0.858
867.0,0.925
868.0,0.969
869.0,0.959
870.0,0.977
871.0,0.96317
872.0,0.976
873.0,0.96614
874.0,0.94913
875.0,0.93562
876.0,0.962
877.0,0.965
878.0,0.962
879.0,0.94571
880.0,0.94856
881.0,0.91963
882.0,0.94408
883.0,0.9393
884.0,0.94352
885.0,0.95469
886.0,0.92558
887.0,0.923
888.0,0.94066
889.0,0.94367
890.0,0.94236
891.0,0.93928
892.0,0.93259
893.0,0.918
894.0,0.924
895.0,0.926
896.0,0.93425
897.0,0.92686
898.0,0.92378
899.0,0.91396
900.0,0.91378
901.0,0.89834
902.0,0.8772
903.0,0.92233
904.0,0.921
905.0,0.918
906.0,0.9078
907.0,0.9145
908.0,0.90143
909.0,0.88552
910.0,0.89496
911.0,0.8973
912.0,0.89016
913.0,0.9002
914.0,0.8982
915.0,0.8883
916.0,0.8947
917.0,0.8886
918.0,0.8881
919.0,0.8921
920.0,0.8854
921.0,0.8703
922.0,0.8628
923.0,0.83335
924.0,0.86957
925.0,0.87642
926.0,0.84561
927.0,0.87809
928.0,0.8711
929.0,0.86954
930.0,0.86866
931.0,0.87078
932.0,0.86514
933.0,0.86958
934.0,0.86709
935.0,0.85601
936.0,0.85222
937.0,0.85368
938.0,0.85936
939.0,0.85676
940.0,0.84
941.0,0.83153
942.0,0.80616
943.0,0.83814
944.0,0.81854
945.0,0.82441
946.0,0.83138
947.0,0.82809
948.0,0.83137
949.0,0.83303
950.0,0.82867
951.0,0.82019
952.0,0.82402
953.0,0.8205
954.0,0.812
955.0,0.769
956.0,0.802
957.0,0.80583
958.0,0.81147
959.0,0.81483
960.0,0.80627
961.0,0.79982
962.0,0.80173
963.0,0.79761
964.0,0.78808
965.0,0.79579
966.0,0.78598
967.0,0.79503
968.0,0.78526
969.0,0.78789
970.0,0.7914
971.0,0.78186
972.0,0.78785
973.0,0.78149
974.0,0.76882
975.0,0.77348
976.0,0.78054
977.0,0.77208
978.0,0.778
979.0,0.7665
980.0,0.77512
981.0,0.773
982.0,0.77879
983.0,0.77541
984.0,0.76881
985.0,0.77081
986.0,0.7662
987.0,0.76606
988.0,0.76368
989.0,0.755
990.0,0.75694
991.0,0.76161
992.0,0.75714
993.0,0.75639
994.0,0.75851
995.0,0.75392
996.0,0.75347
997.0,0.743
998.0,0.743
999.0,0.742
1000.0,0.74255
1001.0,0.74741
1002.0,0.74677
1003.0,0.73836
1004.0,0.73133
1005.0,0.68365
1006.0,0.7177
1007.0,0.73093
1008.0,0.73339
1009.0,0.72934
1010.0,0.73055
1011.0,0.72562
1012.0,0.72496
1013.0,0.7196
1014.0,0.72265
1015.0,0.71062
1016.0,0.71419
1017.0,0.70659
1018.0,0.71566
1019.0,0.69606
1020.0,0.70127
1021.0,0.703
1022.0,0.693
1023.0,0.699
1024.0,0.70057
1025.0,0.69918
1026.0,0.69943
1027.0,0.69594
1028.0,0.69722
1029.0,0.69
1030.0,0.69208
1031.0,0.68985
1032.0,0.6896
1033.0,0.678
1034.0,0.68181
1035.0,0.684
1036.0,0.68431
1037.0,0.67731
1038.0,0.674
1039.0,0.679
1040.0,0.6744
1041.0,0.6749
1042.0,0.67516
1043.0,0.6686
1044.0,0.67199
1045.0,0.66846
1046.0,0.65131
1047.0,0.66155
1048.0,0.66781
1049.0,0.66491
1050.0,0.66117
